ID_ENCUESTA,ID_VEHICULO,ID_TIPOVEHICULO,ID_COMBUSTIBLE,MUNICIPIO_MATRICULA,PERTENECE_VEHICULO,PERSONA_DUENOVEHICULO,EXENTO_PICOYPLACA,RAZON_EXENTO,DONDE_GUARDAVEHICULO,VALOR_PARQUEO
18476063,1,1,1,BOGOTA,4,-1,2,-1,3,100000
18477030,1,4,1,BOGOTA,1,2,1,12,1,-1
18477032,1,4,1,BOGOTA,1,1,1,12,1,-1
18477344,1,1,1,11001,4,-1,2,-1,3,120000
18477344,2,4,1,11001,1,2,1,12,3,40000
18477409,1,1,1,BOGOTA,1,1,2,-1,3,0
18477470,1,1,1,11001,1,1,2,-1,2,100
18477470,2,4,1,11001,1,1,1,12,1,-1
18477473,1,5,5,11001,4,-1,1,10,4,120000
18477479,1,4,1,11001,1,3,1,12,1,-1
18477573,1,4,1,BOGOTA,4,-1,1,12,1,-1
18477771,1,4,1,BOGOTA,1,1,1,12,1,-1
18477829,1,2,1,11001,1,1,1,12,1,-1
18478888,1,1,1,BOGOTA,1,2,1,12,1,-1
18478890,1,1,1,BOGOTA,1,1,1,12,1,-1
18478892,1,2,5,BOGOTA,1,1,2,-1,1,-1
18479003,1,8,2,11001,4,-1,1,4,4,3000
18479006,1,1,1,11001,1,4,2,-1,1,-1
18479009,1,89,1,MINI VAN CHANA,1,-1,2,-1,1,-1
18479028,1,1,1,11001,1,1,2,-1,3,100000
18479287,1,1,1,BOGOTA,1,1,2,-1,1,-1
18479287,2,4,1,BOGOTA,1,1,2,-1,1,-1
18479287,3,4,1,BOGOTA,1,3,2,-1,1,-1
18479300,1,1,1,MANIZALES,1,1,2,-1,2,57000
18479458,1,1,1,11001,4,-1,2,-1,1,-1
18479537,1,1,5,BOGOTA,1,1,2,-1,1,-1
18479537,2,4,1,TUNJA,2,-1,1,12,3,0
18479537,3,4,3,FUNZA,4,-1,1,12,5,80000
18479538,1,1,1,BOGOTA,1,1,2,-1,1,-1
18479539,1,1,1,BOGOTA,1,1,2,-1,1,-1
18479541,1,1,1,BOGOTA,1,2,2,-1,3,70000
18479579,1,1,1,CUNDINAMARCA,1,1,1,12,1,-1
18479579,2,4,1,CUNDIMARCA,1,1,2,-1,1,-1
18479693,1,1,1,11001,1,1,2,-1,1,-1
18479698,1,4,1,11001,1,3,1,12,1,-1
18479779,1,1,1,377,1,1,2,-1,4,75000
18479780,1,4,1,GIRARDOT,1,2,1,12,1,-1
18479781,1,4,1,11001,1,2,1,12,1,-1
18479781,2,4,1,11001,1,2,1,12,1,-1
18479793,1,4,1,11001,1,1,1,12,1,-1
18479817,1,4,1,CUNDINAMARCA,1,1,2,-1,1,-1
18480184,1,1,1,BOGOTA,1,1,2,-1,2,300000
18480184,2,4,1,BOGOTA,1,2,2,-1,1,-1
18480186,1,1,5,BOGOTA,1,1,2,-1,2,50000
18480191,1,1,1,BOGOTA,4,-1,2,-1,1,-1
18480191,2,4,1,BOGOTA,4,-1,2,-1,1,-1
18480271,1,1,1,BOGOTA,1,1,2,-1,1,-1
18480361,1,1,1,BOGOTA,1,1,2,-1,1,-1
18480361,2,4,1,BOGOTA,1,1,1,12,1,-1
18480362,1,1,1,BOGOTA,1,1,2,-1,3,100000
18480364,1,4,1,BOGOTA,1,1,1,12,1,-1
18480377,1,1,1,ONDA TOLIMA,1,1,2,-1,3,100000
18480378,1,1,5,0,1,2,1,4,3,100000
18480758,1,1,1,11001,1,1,2,-1,1,-1
18480758,2,4,1,11001,1,1,2,-1,1,-1
18480851,1,1,1,11001,1,3,2,-1,1,-1
18480852,1,1,1,11001,1,1,2,-1,4,101000
18480853,1,1,1,11001,1,1,2,-1,1,-1
18480853,2,2,1,11001,1,3,2,-1,1,-1
18480860,1,1,1,11001,1,1,2,-1,1,-1
18481499,1,1,1,110011,1,1,2,-1,1,-1
18481525,1,4,1,11001,1,1,2,-1,2,80000
18481526,1,4,1,11001,1,1,2,-1,1,-1
18486492,1,1,1,11001,1,1,2,-1,3,0
18486492,2,4,1,11001,1,1,1,7,3,0
18488297,1,2,1,11001,1,1,2,-1,2,120000
18488297,2,2,1,11001,1,1,2,-1,2,120000
18488367,1,4,1,BOGOTA,2,-1,2,-1,1,-1
18494472,1,4,1,BOGOTA,1,3,1,12,1,-1
18495434,1,1,1,BOGOTA,1,1,2,-1,1,-1
18495951,1,1,5,11001,1,1,2,-1,1,-1
18495951,2,4,1,11001,1,2,1,12,1,-1
18496885,1,4,1,11001,1,1,2,-1,1,-1
18497470,1,1,1,CUNDINAMARCA,1,1,2,-1,1,-1
18497471,1,4,1,11001,1,1,1,12,1,-1
18498333,1,8,1,11001,2,-1,2,-1,4,180
18499137,1,4,1,MOSQUERA,1,2,1,12,1,-1
18499139,1,5,1,BOGOTA,1,1,1,12,3,70000
18503115,1,4,1,1101,1,1,1,12,2,80
18504050,1,1,1,11001,1,1,2,-1,2,90
18504384,1,1,1,BOGOTA,1,1,2,-1,1,-1
18504914,1,4,1,11001,1,2,1,12,2,80
18504914,2,4,1,11001,1,3,1,12,2,80
18506379,1,1,1,BOGOTA,1,1,2,-1,2,0
18506803,1,1,1,BOGOTA,1,1,2,-1,1,-1
18507418,1,4,1,CHAPARRAL,1,1,1,12,1,-1
18507418,2,89,1,BOGOTA,1,-1,2,-1,1,-1
18507420,1,1,1,BOGOTA,1,1,2,-1,1,-1
18507420,2,2,4,MOSQUERA,1,2,2,-1,1,-1
18508623,1,4,1,1101,1,1,1,12,1,-1
18508884,1,4,1,BOGOTA,1,1,1,12,1,-1
18508889,1,4,1,BOGOTA,1,1,1,12,1,-1
18508892,1,1,1,BOGOTA,1,1,2,-1,1,-1
18508892,2,1,1,BOGOTA,1,2,2,-1,3,100000
18508892,3,5,1,BOGOTA,1,1,2,-1,3,100000
18508896,1,1,1,BOGOTA,1,3,2,-1,1,-1
18509487,1,5,2,BOGOTA,1,1,1,12,2,200
18509489,1,1,1,BOGOTA,1,1,2,-1,3,100000
18509493,1,4,1,BOGOTA,1,1,2,-1,1,-1
18509655,1,4,1,11001,1,2,1,12,1,-1
18509934,1,1,1,BOGOTA,1,1,2,-1,1,-1
18509937,1,2,5,BOGOTA,4,-1,2,-1,4,60000
18509938,1,1,1,BOGOTA,1,1,2,-1,1,-1
18510182,1,4,1,11001,1,2,1,12,2,0
18510182,2,4,1,11001,1,3,1,12,2,0
18510246,1,2,5,11001,1,1,2,-1,4,150000
18510246,2,4,1,11001,1,1,1,12,1,-1
18510254,1,1,1,11001,4,-1,2,-1,1,-1
18510256,1,1,1,SOACHA,1,3,2,-1,1,-1
