ID_ENCUESTA;ID_VEHICULO;CANTIDAD;FACTOR_EXP_CAL
19867458;11;1;83.7468401253926
19867458;13;1;83.7468401253926
21675088;1;2;331.472222222222
21675088;13;2;331.472222222222
20100971;4;1;49.8741276171486
20100971;13;1;49.8741276171486
19094070;1;2;2702.35042735043
19094070;13;1;2702.35042735043
18674631;1;1;4981.46943115364
18674631;5;1;4981.46943115364
18674631;9;1;4981.46943115364
19565551;1;1;15.4585354585355
18743008;4;1;1132.81278389335
19172422;13;2;847.74916329047
19193834;1;2;611.398320507542
22818819;13;1;56.6978510196892
18607723;1;4;1568.36919642857
23283268;1;3;125.620260188089
19227628;5;1;354.003994966673
19297046;4;1;390.824810348982
19772544;4;1;21.0939069619582
23248811;1;1;21.4805244157325
20136786;1;1;314.163505311077
20136973;2;1;69.8141122913505
22832507;1;1;26.1802921092564
22832507;13;1;26.1802921092564
22832508;1;1;26.1802921092564
19113979;13;1;492.3125
19199216;5;1;423.874581645235
22275662;1;1;662.348180549837
22275662;13;3;662.348180549837
22296284;13;1;156.434575733545
22296856;4;1;234.651863600317
19484624;1;2;99.4588014090164
19484624;13;3;99.4588014090164
22299210;13;1;1135.45402379972
21675087;1;1;453.47389689109
21675087;13;3;453.47389689109
22363381;1;1;1135.45402379972
19272465;4;1;433.382388511178
20137739;13;2;209.442336874052
19454206;11;2;81.6388601036269
19454206;13;1;81.6388601036269
22501277;5;1;662.348180549837
22501279;1;1;1987.04454164951
22395095;13;1;799.284144719961
18609726;4;1;632.694942405895
22807831;13;1;1987.04454164951
23157959;4;1;564.088669950739
23157981;1;1;993.522270824756
23157981;13;1;993.522270824756
22933006;1;1;1627.32316227462
19732565;13;1;15.4585354585355
21706990;1;1;510.158134002477
22289129;13;1;161.323156225218
22312642;4;1;9.27272727272727
19641399;1;1;25.1201201201201
21675085;1;1;510.158134002477
22062406;4;1;2202.68571428571
22293321;1;1;66.1153358681876
22293321;13;1;66.1153358681876
21675089;1;1;453.47389689109
22330247;13;1;1324.69636109967
18607519;11;1;1568.77202217315
23180970;1;1;1.79310344827586
22501275;2;1;1987.04454164951
22501276;1;1;1324.69636109967
22345471;1;1;916.437124051747
22345471;4;2;916.437124051747
22345471;13;1;916.437124051747
21672610;1;1;510.158134002477
23160706;1;1;990.362811791383
22293320;1;1;66.1153358681876
21706991;1;1;510.158134002477
23123154;13;1;990.362811791383
23123297;1;1;990.362811791383
21672846;1;1;510.158134002477
21674048;1;1;2040.63253600991
21674048;13;1;2040.63253600991
22064007;1;1;875.967323651452
22069904;1;1;875.967323651452
22072232;1;1;875.967323651452
22072232;4;1;875.967323651452
22072232;13;2;875.967323651452
22072983;1;1;875.967323651452
22078677;1;1;662.811111111111
22078677;13;1;662.811111111111
22290849;4;1;53.774385408406
22067352;1;1;875.967323651452
22080230;1;1;1503.3608815427
22080230;13;1;1503.3608815427
23180532;1;1;0.597701149425287
23180535;13;3;370.053456221198
23088722;1;1;65.2668605196511
23088722;13;1;65.2668605196511
23089959;13;2;65.2668605196511
22981185;1;1;1687.41849462366
22981185;11;1;1687.41849462366
22981185;13;1;1687.41849462366
23091498;1;1;467.866666666667
23091498;11;1;467.866666666667
23091498;13;1;467.866666666667
22978978;1;1;397.686666666667
22739211;4;2;1283.01197367245
22739211;13;2;1283.01197367245
